,pmid,Dataset,Real label,times_correct,times_test,CorrectlyClassified
2838,21540446,random_1000_pmids,Not Relevant,40,40,100.0
2829,21473048,2000V2_1103,Not Relevant,48,48,100.0
315,2320122,2000V2_1103,Not Relevant,49,49,100.0
2841,21546217,2000V2_1103,Not Relevant,32,32,100.0
2842,21553164,2000V2_1103,Not Relevant,39,39,100.0
2843,21568937,2000V2_1103,Not Relevant,42,42,100.0
2844,21592549,2000V2_1103,Not Relevant,37,37,100.0
2845,21601538,pk_random,Relevant,42,42,100.0
314,2318131,random_1000_pmids,Not Relevant,44,44,100.0
2847,21626811,2000V2_1103,Not Relevant,41,41,100.0
2848,21629963,pk_random,Not Relevant,41,41,100.0
2849,21640175,pk_random,Not Relevant,38,38,100.0
2840,21543465,2000V2_1103,Not Relevant,47,47,100.0
2850,21642642,2000V2_1103,Not Relevant,41,41,100.0
2828,21464174,2000V2_1103,Relevant,38,38,100.0
2826,21430500,2000V2_1103,Not Relevant,37,37,100.0
2805,21258724,random_1000_pmids,Not Relevant,39,39,100.0
2806,21265540,2000V2_1103,Not Relevant,42,42,100.0
2807,21266188,random_1000_pmids,Relevant,40,40,100.0
2808,21269291,pk_random,Relevant,33,33,100.0
325,2353751,random_1000_pmids,Not Relevant,36,36,100.0
2810,21276042,2000V2_1103,Relevant,34,34,100.0
324,2353325,2000V2_1103,Relevant,41,41,100.0
2812,21288163,random_1000_pmids,Not Relevant,39,39,100.0
2813,21300760,pk_random,Relevant,51,51,100.0
321,2347797,random_1000_pmids,Not Relevant,40,40,100.0
2814,21315406,2000V2_1103,Not Relevant,46,46,100.0
2816,21342038,2000V2_1103,Not Relevant,44,44,100.0
323,2352172,2000V2_1103,Not Relevant,39,39,100.0
2818,21354450,random_1000_pmids,Not Relevant,43,43,100.0
2819,21366654,2000V2_1103,Relevant,38,38,100.0
322,2349609,random_1000_pmids,Not Relevant,47,47,100.0
2821,21395360,random_1000_pmids,Not Relevant,34,34,100.0
2822,21395375,2000V2_1103,Not Relevant,41,41,100.0
2823,21410075,2000V2_1103,Not Relevant,58,58,100.0
2824,21420284,2000V2_1103,Not Relevant,47,47,100.0
2815,21340042,2000V2_1103,Not Relevant,32,32,100.0
313,2316191,2000V2_1103,Relevant,38,38,100.0
2852,21660618,pk_random,Relevant,47,47,100.0
2853,21672215,2000V2_1103,Not Relevant,34,34,100.0
2879,21865578,2000V2_1103,Not Relevant,41,41,100.0
2880,21870836,pk_random,Not Relevant,39,39,100.0
2881,21881232,2000V2_1103,Not Relevant,49,49,100.0
2882,21887293,2000V2_1103,Not Relevant,54,54,100.0
2883,21890174,pk_random,Not Relevant,41,41,100.0
309,2299362,pk_random,Not Relevant,40,40,100.0
308,2295792,random_1000_pmids,Not Relevant,34,34,100.0
2974,22706017,random_1000_pmids,Not Relevant,38,38,100.0
2887,21976976,pk_random,Not Relevant,37,37,100.0
2878,21865031,2000V2_1103,Not Relevant,36,36,100.0
2888,21993434,pk_random,Not Relevant,39,39,100.0
2890,22008148,pk_random,Relevant,27,27,100.0
2891,22014457,random_1000_pmids,Not Relevant,47,47,100.0
2892,22034441,2000V2_1103,Not Relevant,46,46,100.0
2893,22038462,random_1000_pmids,Not Relevant,38,38,100.0
2894,22044023,2000V2_1103,Not Relevant,39,39,100.0
2895,22047993,2000V2_1103,Not Relevant,35,35,100.0
2896,22069727,2000V2_1103,Not Relevant,40,40,100.0
2897,22071000,2000V2_1103,Not Relevant,39,39,100.0
2898,22076108,pk_random,Not Relevant,36,36,100.0
304,2275917,2000V2_1103,Not Relevant,43,43,100.0
2877,21864403,pk_random,Not Relevant,40,40,100.0
2876,21852130,2000V2_1103,Not Relevant,53,53,100.0
2875,21835424,2000V2_1103,Not Relevant,52,52,100.0
2854,21676449,2000V2_1103,Not Relevant,38,38,100.0
2855,21718088,2000V2_1103,Relevant,41,41,100.0
2856,21719264,2000V2_1103,Not Relevant,37,37,100.0
2857,21732164,random_1000_pmids,Not Relevant,52,52,100.0
2858,21742547,random_1000_pmids,Not Relevant,37,37,100.0
2859,21751488,2000V2_1103,Not Relevant,36,36,100.0
2860,21756949,2000V2_1103,Not Relevant,41,41,100.0
312,2312414,2000V2_1103,Not Relevant,45,45,100.0
2862,21780891,random_1000_pmids,Not Relevant,40,40,100.0
2863,21792921,2000V2_1103,Not Relevant,43,43,100.0
2864,21793674,pk_random,Not Relevant,46,46,100.0
2865,21794149,2000V2_1103,Not Relevant,39,39,100.0
2866,21801960,random_1000_pmids,Relevant,48,48,100.0
311,2312248,2000V2_1103,Not Relevant,40,40,100.0
2868,21812421,2000V2_1103,Not Relevant,44,44,100.0
2869,21813169,2000V2_1103,Not Relevant,39,39,100.0
2870,21814853,random_1000_pmids,Not Relevant,43,43,100.0
2871,21822666,2000V2_1103,Not Relevant,44,44,100.0
2872,21822902,2000V2_1103,Not Relevant,39,39,100.0
310,2310203,random_1000_pmids,Not Relevant,39,39,100.0
2874,21835019,pk_random,Not Relevant,47,47,100.0
303,2274630,2000V2_1103,Not Relevant,54,54,100.0
2975,22719975,pk_random,Not Relevant,47,47,100.0
2992,22927237,random_1000_pmids,Not Relevant,43,43,100.0
2977,22736376,2000V2_1103,Not Relevant,35,35,100.0
3104,23825221,random_1000_pmids,Not Relevant,36,36,100.0
3106,23863292,random_1000_pmids,Not Relevant,48,48,100.0
3107,23867642,random_1000_pmids,Not Relevant,42,42,100.0
257,2048014,pk_random,Not Relevant,34,34,100.0
3109,23888060,2000V2_1103,Not Relevant,40,40,100.0
3110,23890237,pk_random,Not Relevant,31,31,100.0
3111,23932275,random_1000_pmids,Not Relevant,38,38,100.0
3112,23958439,2000V2_1103,Not Relevant,37,37,100.0
3113,23958474,random_1000_pmids,Not Relevant,35,35,100.0
3103,23818776,2000V2_1103,Relevant,43,43,100.0
3114,23994015,pk_random,Not Relevant,37,37,100.0
255,2044387,random_1000_pmids,Not Relevant,37,37,100.0
3117,24014186,2000V2_1103,Relevant,41,41,100.0
3118,24019205,2000V2_1103,Relevant,43,43,100.0
3119,24026769,pk_random,Not Relevant,35,35,100.0
3120,24026957,2000V2_1103,Not Relevant,37,37,100.0
3121,24038512,pk_random,Not Relevant,38,38,100.0
254,2041162,2000V2_1103,Relevant,38,38,100.0
3124,24063809,2000V2_1103,Not Relevant,40,40,100.0
3125,24089542,random_1000_pmids,Relevant,35,35,100.0
3115,23994763,random_1000_pmids,Relevant,35,35,100.0
3102,23817346,pk_random,Relevant,41,41,100.0
3101,23807084,pk_random,Relevant,41,41,100.0
3100,23806607,pk_random,Not Relevant,53,53,100.0
3079,23637119,random_1000_pmids,Not Relevant,40,40,100.0
263,2090444,2000V2_1103,Not Relevant,30,30,100.0
3081,23681974,2000V2_1103,Not Relevant,52,52,100.0
3082,23689660,2000V2_1103,Not Relevant,32,32,100.0
3083,23704916,random_1000_pmids,Not Relevant,47,47,100.0
262,2089913,2000V2_1103,Not Relevant,39,39,100.0
3085,23721584,random_1000_pmids,Not Relevant,41,41,100.0
3086,23726267,2000V2_1103,Relevant,40,40,100.0
3087,23726788,2000V2_1103,Not Relevant,30,30,100.0
3088,23742293,random_1000_pmids,Not Relevant,44,44,100.0
3089,23755828,2000V2_1103,Not Relevant,37,37,100.0
3090,23756214,random_1000_pmids,Not Relevant,46,46,100.0
3091,23757386,2000V2_1103,Not Relevant,35,35,100.0
261,2087410,2000V2_1103,Not Relevant,39,39,100.0
260,2074254,pk_random,Relevant,41,41,100.0
3094,23775622,2000V2_1103,Not Relevant,47,47,100.0
3095,23776118,2000V2_1103,Not Relevant,39,39,100.0
3096,23784717,random_1000_pmids,Not Relevant,42,42,100.0
3097,23787673,random_1000_pmids,Not Relevant,43,43,100.0
258,2051334,2000V2_1103,Relevant,42,42,100.0
3099,23798336,pk_random,Not Relevant,42,42,100.0
3126,24095802,2000V2_1103,Relevant,43,43,100.0
3127,24097307,2000V2_1103,Not Relevant,35,35,100.0
3128,24098676,2000V2_1103,Not Relevant,37,37,100.0
253,2027015,pk_random,Not Relevant,46,46,100.0
241,1979852,2000V2_1103,Not Relevant,30,30,100.0
3156,24329110,2000V2_1103,Not Relevant,40,40,100.0
240,1978230,2000V2_1103,Not Relevant,46,46,100.0
3158,24346834,random_1000_pmids,Not Relevant,31,31,100.0
3159,24349945,random_1000_pmids,Relevant,34,34,100.0
3160,24362330,2000V2_1103,Not Relevant,35,35,100.0
239,1975759,2000V2_1103,Not Relevant,39,39,100.0
3162,24380217,random_1000_pmids,Not Relevant,40,40,100.0
3163,24380288,random_1000_pmids,Not Relevant,47,47,100.0
3164,24387603,pk_random,Not Relevant,34,34,100.0
238,1970777,2000V2_1103,Not Relevant,32,32,100.0
3166,24406981,2000V2_1103,Not Relevant,44,44,100.0
237,1963279,random_1000_pmids,Not Relevant,38,38,100.0
3168,24422530,2000V2_1103,Relevant,47,47,100.0
3169,24424304,2000V2_1103,Not Relevant,38,38,100.0
3170,24427325,2000V2_1103,Not Relevant,42,42,100.0
3171,24428561,2000V2_1103,Not Relevant,34,34,100.0
3172,24440429,pk_random,Not Relevant,49,49,100.0
3173,24443292,pk_random,Not Relevant,37,37,100.0
3174,24451027,2000V2_1103,Not Relevant,39,39,100.0
3175,24460481,2000V2_1103,Not Relevant,34,34,100.0
3154,24312573,2000V2_1103,Not Relevant,48,48,100.0
264,2098520,2000V2_1103,Not Relevant,34,34,100.0
3153,24301684,pk_random,Not Relevant,30,30,100.0
3151,24290851,2000V2_1103,Not Relevant,36,36,100.0
3130,24101508,random_1000_pmids,Relevant,38,38,100.0
3131,24113673,2000V2_1103,Not Relevant,30,30,100.0
3132,24124123,random_1000_pmids,Not Relevant,39,39,100.0
3133,24134216,random_1000_pmids,Relevant,36,36,100.0
3134,24166457,pk_random,Not Relevant,28,28,100.0
3135,24176185,pk_random,Not Relevant,40,40,100.0
3136,24191854,random_1000_pmids,Not Relevant,47,47,100.0
252,2019340,2000V2_1103,Not Relevant,49,49,100.0
3138,24202174,pk_random,Not Relevant,39,39,100.0
3139,24204147,2000V2_1103,Not Relevant,49,49,100.0
251,2015840,random_1000_pmids,Not Relevant,51,51,100.0
3141,24218906,pk_random,Not Relevant,31,31,100.0
250,2012559,2000V2_1103,Not Relevant,40,40,100.0
3143,24227626,pk_random,Not Relevant,44,44,100.0
3144,24229567,pk_random,Not Relevant,36,36,100.0
3145,24243611,random_1000_pmids,Not Relevant,47,47,100.0
3146,24266509,pk_random,Not Relevant,34,34,100.0
3147,24267726,pk_random,Not Relevant,43,43,100.0
3148,24283162,random_1000_pmids,Not Relevant,54,54,100.0
247,2003364,random_1000_pmids,Relevant,37,37,100.0
246,1999160,random_1000_pmids,Not Relevant,44,44,100.0
243,1982642,random_1000_pmids,Not Relevant,38,38,100.0
2976,22735367,pk_random,Not Relevant,31,31,100.0
3077,23627705,pk_random,Not Relevant,37,37,100.0
3075,23621113,2000V2_1103,Not Relevant,36,36,100.0
3003,22976316,pk_random,Relevant,50,50,100.0
279,2181491,2000V2_1103,Not Relevant,39,39,100.0
3005,22991010,pk_random,Not Relevant,37,37,100.0
3006,22994136,random_1000_pmids,Not Relevant,49,49,100.0
3007,23035645,2000V2_1103,Not Relevant,40,40,100.0
277,2157527,pk_random,Not Relevant,54,54,100.0
3009,23067100,pk_random,Relevant,34,34,100.0
276,2153524,pk_random,Not Relevant,38,38,100.0
3011,23083550,pk_random,Not Relevant,37,37,100.0
3002,22975967,2000V2_1103,Not Relevant,45,45,100.0
275,2139772,random_1000_pmids,Not Relevant,42,42,100.0
3014,23110261,2000V2_1103,Not Relevant,33,33,100.0
3015,23122301,2000V2_1103,Not Relevant,34,34,100.0
3016,23136718,pk_random,Not Relevant,46,46,100.0
3017,23151050,pk_random,Not Relevant,40,40,100.0
3018,23162701,random_1000_pmids,Not Relevant,45,45,100.0
3019,23176177,pk_random,Not Relevant,42,42,100.0
274,2130592,2000V2_1103,Not Relevant,51,51,100.0
3022,23206758,2000V2_1103,Not Relevant,43,43,100.0
3023,23210843,2000V2_1103,Not Relevant,40,40,100.0
3013,23103351,2000V2_1103,Not Relevant,27,27,100.0
3001,22975726,2000V2_1103,Not Relevant,47,47,100.0
280,2196250,pk_random,Not Relevant,33,33,100.0
2999,22970859,2000V2_1103,Not Relevant,44,44,100.0
285,2210612,2000V2_1103,Not Relevant,42,42,100.0
2979,22760642,random_1000_pmids,Not Relevant,44,44,100.0
2980,22764584,2000V2_1103,Not Relevant,41,41,100.0
284,2209775,2000V2_1103,Not Relevant,33,33,100.0
283,2203009,2000V2_1103,Not Relevant,39,39,100.0
2983,22825127,pk_random,Not Relevant,39,39,100.0
2984,22842015,random_1000_pmids,Not Relevant,35,35,100.0
2985,22846044,pk_random,Not Relevant,43,43,100.0
2986,22851017,pk_random,Not Relevant,36,36,100.0
2987,22871975,2000V2_1103,Not Relevant,35,35,100.0
2988,22888226,2000V2_1103,Relevant,59,59,100.0
2989,22900471,2000V2_1103,Not Relevant,47,47,100.0
2990,22913551,2000V2_1103,Not Relevant,48,48,100.0
2991,22922142,random_1000_pmids,Not Relevant,44,44,100.0
2804,21254453,pk_random,Not Relevant,41,41,100.0
282,2200250,random_1000_pmids,Not Relevant,45,45,100.0
2994,22928893,pk_random,Not Relevant,42,42,100.0
2995,22943280,random_1000_pmids,Not Relevant,43,43,100.0
2996,22954323,random_1000_pmids,Not Relevant,37,37,100.0
2997,22967225,pk_random,Not Relevant,46,46,100.0
2998,22967673,pk_random,Not Relevant,41,41,100.0
3024,23211429,2000V2_1103,Not Relevant,35,35,100.0
3025,23212890,2000V2_1103,Not Relevant,40,40,100.0
3026,23214383,2000V2_1103,Not Relevant,39,39,100.0
3027,23222216,2000V2_1103,Not Relevant,40,40,100.0
3054,23421555,random_1000_pmids,Not Relevant,43,43,100.0
3055,23436680,pk_random,Not Relevant,39,39,100.0
3056,23451103,2000V2_1103,Not Relevant,48,48,100.0
3057,23460034,random_1000_pmids,Relevant,45,45,100.0
267,2108810,2000V2_1103,Not Relevant,33,33,100.0
3059,23462389,pk_random,Not Relevant,54,54,100.0
3060,23466428,random_1000_pmids,Not Relevant,46,46,100.0
266,2102982,random_1000_pmids,Not Relevant,38,38,100.0
3062,23477032,pk_random,Not Relevant,50,50,100.0
3063,23499655,random_1000_pmids,Not Relevant,36,36,100.0
3064,23503988,random_1000_pmids,Not Relevant,42,42,100.0
3065,23510368,2000V2_1103,Not Relevant,50,50,100.0
3066,23512369,random_1000_pmids,Not Relevant,49,49,100.0
3067,23523663,random_1000_pmids,Relevant,31,31,100.0
3068,23531079,2000V2_1103,Not Relevant,41,41,100.0
3069,23545225,2000V2_1103,Not Relevant,43,43,100.0
3070,23551201,pk_random,Not Relevant,36,36,100.0
3071,23562926,2000V2_1103,Not Relevant,36,36,100.0
3072,23570736,random_1000_pmids,Not Relevant,39,39,100.0
265,2098643,random_1000_pmids,Not Relevant,45,45,100.0
3074,23596529,2000V2_1103,Not Relevant,44,44,100.0
3053,23420517,pk_random,Relevant,48,48,100.0
3076,23623399,2000V2_1103,Not Relevant,43,43,100.0
3052,23386075,2000V2_1103,Not Relevant,48,48,100.0
3050,23380426,2000V2_1103,Relevant,45,45,100.0
3028,23226037,random_1000_pmids,Not Relevant,40,40,100.0
3029,23234150,pk_random,Relevant,40,40,100.0
3030,23238784,2000V2_1103,Not Relevant,41,41,100.0
273,2122660,2000V2_1103,Not Relevant,53,53,100.0
272,2115985,2000V2_1103,Not Relevant,38,38,100.0
3034,23259441,random_1000_pmids,Not Relevant,44,44,100.0
3035,23264808,pk_random,Not Relevant,36,36,100.0
3036,23279047,2000V2_1103,Not Relevant,42,42,100.0
271,2114465,pk_random,Not Relevant,44,44,100.0
3038,23303328,pk_random,Not Relevant,40,40,100.0
270,2113749,2000V2_1103,Not Relevant,29,29,100.0
3040,23345165,pk_random,Not Relevant,42,42,100.0
3041,23352636,2000V2_1103,Relevant,35,35,100.0
269,2113596,2000V2_1103,Not Relevant,41,41,100.0
3043,23355822,random_1000_pmids,Not Relevant,40,40,100.0
3044,23356842,2000V2_1103,Relevant,37,37,100.0
268,2108979,random_1000_pmids,Not Relevant,37,37,100.0
3046,23360328,2000V2_1103,Not Relevant,37,37,100.0
3047,23364264,pk_random,Not Relevant,36,36,100.0
3048,23369636,2000V2_1103,Not Relevant,31,31,100.0
3049,23370356,2000V2_1103,Not Relevant,34,34,100.0
3051,23380429,2000V2_1103,Relevant,45,45,100.0
2803,21252391,2000V2_1103,Relevant,36,36,100.0
2784,21110387,2000V2_1103,Relevant,36,36,100.0
2801,21222187,2000V2_1103,Not Relevant,37,37,100.0
2523,18608553,2000V2_1103,Not Relevant,40,40,100.0
380,2643153,2000V2_1103,Not Relevant,53,53,100.0
2525,18616847,random_1000_pmids,Not Relevant,51,51,100.0
2526,18627213,2000V2_1103,Not Relevant,41,41,100.0
2527,18628777,2000V2_1103,Not Relevant,36,36,100.0
2528,18632811,pk_random,Not Relevant,36,36,100.0
2529,18636706,2000V2_1103,Not Relevant,43,43,100.0
2531,18644198,pk_random,Not Relevant,40,40,100.0
2532,18654207,2000V2_1103,Not Relevant,40,40,100.0
2522,18605671,pk_random,Not Relevant,41,41,100.0
2533,18686040,2000V2_1103,Not Relevant,31,31,100.0
2535,18706773,2000V2_1103,Not Relevant,42,42,100.0
379,2641633,2000V2_1103,Not Relevant,35,35,100.0
2537,18754478,pk_random,Not Relevant,39,39,100.0
2538,18760927,random_1000_pmids,Not Relevant,34,34,100.0
2539,18763369,2000V2_1103,Not Relevant,38,38,100.0
2540,18763430,random_1000_pmids,Not Relevant,41,41,100.0
2541,18766262,2000V2_1103,Relevant,43,43,100.0
2542,18773122,pk_random,Not Relevant,42,42,100.0
378,2628587,random_1000_pmids,Not Relevant,35,35,100.0
2534,18688908,2000V2_1103,Not Relevant,54,54,100.0
381,2644930,2000V2_1103,Not Relevant,49,49,100.0
2520,18593948,2000V2_1103,Not Relevant,35,35,100.0
2519,18592266,2000V2_1103,Not Relevant,44,44,100.0
2498,18435628,pk_random,Not Relevant,40,40,100.0
2499,18442227,2000V2_1103,Not Relevant,41,41,100.0
2500,18451780,pk_random,Not Relevant,36,36,100.0
2501,18463625,pk_random,Not Relevant,30,30,100.0
387,2672743,random_1000_pmids,Not Relevant,45,45,100.0
2503,18473296,random_1000_pmids,Not Relevant,30,30,100.0
2504,18475294,2000V2_1103,Relevant,38,38,100.0
2505,18478192,2000V2_1103,Relevant,46,46,100.0
2506,18478438,random_1000_pmids,Not Relevant,35,35,100.0
385,2659322,2000V2_1103,Relevant,37,37,100.0
383,2657617,2000V2_1103,Relevant,37,37,100.0
382,2652127,random_1000_pmids,Not Relevant,45,45,100.0
2510,18487659,2000V2_1103,Not Relevant,42,42,100.0
2511,18504956,pk_random,Not Relevant,31,31,100.0
2512,18533086,2000V2_1103,Not Relevant,36,36,100.0
2513,18535877,random_1000_pmids,Not Relevant,37,37,100.0
2514,18550245,random_1000_pmids,Relevant,38,38,100.0
2515,18559644,random_1000_pmids,Relevant,45,45,100.0
2516,18560630,2000V2_1103,Relevant,35,35,100.0
2517,18576904,2000V2_1103,Relevant,38,38,100.0
2518,18589298,2000V2_1103,Not Relevant,33,33,100.0
2544,18797152,random_1000_pmids,Not Relevant,38,38,100.0
2545,18813047,2000V2_1103,Not Relevant,41,41,100.0
377,2628212,2000V2_1103,Not Relevant,42,42,100.0
2547,18840007,2000V2_1103,Not Relevant,48,48,100.0
2575,19115313,pk_random,Not Relevant,40,40,100.0
2576,19118083,2000V2_1103,Relevant,57,57,100.0
2577,19124281,2000V2_1103,Relevant,41,41,100.0
2579,19152061,random_1000_pmids,Not Relevant,38,38,100.0
369,2575493,2000V2_1103,Relevant,29,29,100.0
368,2574239,pk_random,Not Relevant,47,47,100.0
2582,19157514,pk_random,Not Relevant,32,32,100.0
2583,19158532,random_1000_pmids,Not Relevant,43,43,100.0
2584,19167080,2000V2_1103,Not Relevant,29,29,100.0
2585,19167488,2000V2_1103,Not Relevant,40,40,100.0
367,2573205,random_1000_pmids,Not Relevant,38,38,100.0
366,2568918,random_1000_pmids,Not Relevant,37,37,100.0
2588,19203824,2000V2_1103,Not Relevant,38,38,100.0
2589,19209525,pk_random,Not Relevant,46,46,100.0
2590,19228383,2000V2_1103,Not Relevant,33,33,100.0
2591,19229380,pk_random,Relevant,36,36,100.0
2592,19229594,random_1000_pmids,Not Relevant,45,45,100.0
2593,19235379,pk_random,Not Relevant,39,39,100.0
365,2568405,2000V2_1103,Not Relevant,44,44,100.0
2595,19266426,2000V2_1103,Relevant,38,38,100.0
364,2562802,pk_random,Not Relevant,38,38,100.0
2574,19096843,random_1000_pmids,Not Relevant,40,40,100.0
388,2676153,random_1000_pmids,Not Relevant,45,45,100.0
2573,19088689,random_1000_pmids,Not Relevant,46,46,100.0
2571,19084873,2000V2_1103,Not Relevant,35,35,100.0
2548,18848482,2000V2_1103,Not Relevant,35,35,100.0
2549,18927314,2000V2_1103,Relevant,35,35,100.0
2550,18936621,2000V2_1103,Not Relevant,40,40,100.0
2551,18939578,pk_random,Not Relevant,28,28,100.0
376,2620155,pk_random,Not Relevant,41,41,100.0
2554,18989608,random_1000_pmids,Not Relevant,41,41,100.0
2555,18990146,pk_random,Not Relevant,38,38,100.0
2556,19002364,2000V2_1103,Not Relevant,47,47,100.0
2557,19006470,2000V2_1103,Relevant,39,39,100.0
2558,19011858,pk_random,Relevant,42,42,100.0
2559,19022677,random_1000_pmids,Not Relevant,40,40,100.0
2560,19025902,2000V2_1103,Not Relevant,44,44,100.0
2562,19032726,pk_random,Relevant,44,44,100.0
375,2610509,pk_random,Relevant,34,34,100.0
2564,19050768,2000V2_1103,Not Relevant,34,34,100.0
374,2607380,2000V2_1103,Not Relevant,33,33,100.0
2566,19053985,pk_random,Not Relevant,36,36,100.0
2567,19058832,pk_random,Not Relevant,44,44,100.0
2568,19070269,2000V2_1103,Not Relevant,37,37,100.0
2569,19075501,pk_random,Not Relevant,36,36,100.0
372,2591138,random_1000_pmids,Not Relevant,32,32,100.0
370,2578501,pk_random,Not Relevant,44,44,100.0
363,2561652,random_1000_pmids,Not Relevant,35,35,100.0
2496,18422652,random_1000_pmids,Not Relevant,36,36,100.0
2494,18416470,pk_random,Relevant,26,26,100.0
2424,17803729,2000V2_1103,Not Relevant,46,46,100.0
2425,17804123,random_1000_pmids,Not Relevant,32,32,100.0
2426,17875190,pk_random,Relevant,38,38,100.0
2427,17877438,pk_random,Not Relevant,36,36,100.0
2428,17885736,pk_random,Relevant,52,52,100.0
396,2699478,2000V2_1103,Not Relevant,42,42,100.0
2430,17897801,2000V2_1103,Not Relevant,36,36,100.0
2431,17900948,pk_random,Relevant,42,42,100.0
2432,17902170,2000V2_1103,Not Relevant,39,39,100.0
2423,17787004,random_1000_pmids,Not Relevant,39,39,100.0
2433,17914077,2000V2_1103,Not Relevant,40,40,100.0
2435,17931239,2000V2_1103,Not Relevant,51,51,100.0
2436,17937318,random_1000_pmids,Not Relevant,41,41,100.0
2437,17941730,2000V2_1103,Not Relevant,46,46,100.0
2438,17942285,2000V2_1103,Relevant,32,32,100.0
395,2694162,2000V2_1103,Not Relevant,45,45,100.0
2440,17960402,2000V2_1103,Not Relevant,34,34,100.0
2441,17964070,random_1000_pmids,Not Relevant,42,42,100.0
2442,17965439,random_1000_pmids,Not Relevant,40,40,100.0
2443,17974267,2000V2_1103,Not Relevant,41,41,100.0
2434,17923345,2000V2_1103,Not Relevant,36,36,100.0
2422,17722738,2000V2_1103,Not Relevant,40,40,100.0
2421,17722625,2000V2_1103,Not Relevant,45,45,100.0
2420,17721779,pk_random,Not Relevant,29,29,100.0
2398,17608948,random_1000_pmids,Not Relevant,36,36,100.0
2399,17610996,2000V2_1103,Not Relevant,47,47,100.0
2400,17614027,random_1000_pmids,Not Relevant,34,34,100.0
2401,17631423,pk_random,Not Relevant,50,50,100.0
2402,17635180,2000V2_1103,Not Relevant,45,45,100.0
401,2713875,2000V2_1103,Not Relevant,38,38,100.0
400,2713214,pk_random,Relevant,44,44,100.0
2405,17639416,random_1000_pmids,Not Relevant,30,30,100.0
2406,17645874,2000V2_1103,Not Relevant,46,46,100.0
2407,17646232,2000V2_1103,Not Relevant,43,43,100.0
2408,17656620,2000V2_1103,Relevant,45,45,100.0
2409,17661678,pk_random,Not Relevant,38,38,100.0
398,2702888,random_1000_pmids,Not Relevant,39,39,100.0
2411,17675256,2000V2_1103,Not Relevant,40,40,100.0
2412,17683175,2000V2_1103,Not Relevant,38,38,100.0
2413,17685392,2000V2_1103,Relevant,34,34,100.0
2414,17689811,random_1000_pmids,Not Relevant,48,48,100.0
397,2701299,2000V2_1103,Not Relevant,39,39,100.0
2416,17704033,2000V2_1103,Not Relevant,44,44,100.0
2417,17704243,random_1000_pmids,Not Relevant,33,33,100.0
2418,17709251,pk_random,Not Relevant,38,38,100.0
2444,17977676,pk_random,Not Relevant,36,36,100.0
2445,17988777,pk_random,Not Relevant,37,37,100.0
2446,17991767,random_1000_pmids,Relevant,30,30,100.0
2447,18002320,pk_random,Not Relevant,41,41,100.0
2473,18289614,pk_random,Not Relevant,36,36,100.0
2474,18293616,random_1000_pmids,Relevant,41,41,100.0
391,2684591,pk_random,Not Relevant,39,39,100.0
2476,18307502,pk_random,Relevant,49,49,100.0
2477,18318784,2000V2_1103,Relevant,40,40,100.0
2478,18319188,pk_random,Not Relevant,34,34,100.0
2479,18320185,2000V2_1103,Relevant,35,35,100.0
2480,18320937,2000V2_1103,Not Relevant,47,47,100.0
2481,18326322,2000V2_1103,Not Relevant,48,48,100.0
2482,18329195,2000V2_1103,Not Relevant,54,54,100.0
2483,18332796,pk_random,Not Relevant,52,52,100.0
2484,18350515,random_1000_pmids,Not Relevant,43,43,100.0
2485,18367789,pk_random,Not Relevant,39,39,100.0
2486,18370508,2000V2_1103,Relevant,51,51,100.0
390,2680965,2000V2_1103,Not Relevant,42,42,100.0
2488,18378563,2000V2_1103,Relevant,31,31,100.0
2489,18380600,2000V2_1103,Not Relevant,48,48,100.0
389,2680228,pk_random,Not Relevant,37,37,100.0
2491,18388122,2000V2_1103,Not Relevant,44,44,100.0
2492,18388870,random_1000_pmids,Not Relevant,51,51,100.0
2493,18408137,2000V2_1103,Not Relevant,44,44,100.0
2472,18288959,2000V2_1103,Not Relevant,33,33,100.0
2495,18417145,random_1000_pmids,Not Relevant,54,54,100.0
2471,18279106,pk_random,Relevant,39,39,100.0
2469,18257815,2000V2_1103,Relevant,45,45,100.0
2448,18031729,2000V2_1103,Not Relevant,43,43,100.0
2449,18034666,random_1000_pmids,Relevant,29,29,100.0
2450,18037624,2000V2_1103,Not Relevant,40,40,100.0
2451,18042506,random_1000_pmids,Relevant,48,48,100.0
2452,18044180,pk_random,Not Relevant,46,46,100.0
2453,18050297,2000V2_1103,Not Relevant,42,42,100.0
2454,18053323,2000V2_1103,Not Relevant,40,40,100.0
393,2691873,2000V2_1103,Not Relevant,46,46,100.0
392,2686397,pk_random,Not Relevant,42,42,100.0
2457,18071957,pk_random,Not Relevant,44,44,100.0
2458,18077531,random_1000_pmids,Not Relevant,31,31,100.0
2459,18095849,2000V2_1103,Not Relevant,41,41,100.0
2460,18097208,random_1000_pmids,Not Relevant,36,36,100.0
2461,18172612,2000V2_1103,Not Relevant,44,44,100.0
2462,18178333,pk_random,Not Relevant,41,41,100.0
2463,18191035,random_1000_pmids,Not Relevant,41,41,100.0
2464,18199279,2000V2_1103,Not Relevant,39,39,100.0
2465,18229605,2000V2_1103,Not Relevant,30,30,100.0
2466,18241888,2000V2_1103,Not Relevant,30,30,100.0
2467,18242914,pk_random,Not Relevant,37,37,100.0
2468,18248425,2000V2_1103,Not Relevant,54,54,100.0
2470,18277073,2000V2_1103,Not Relevant,45,45,100.0
